FKLuijendi;foeke;Foeke;K;Luijendijk;Voorvisser ;163;;1541 XJ;Koog aan de Zaan;06-75843809;3-21-1995;FoekeLuijendijk@fleckens.hu;11965340
JMHolub;josef;Josef;M;Holub;Holtmate ;52;;7006 DR;Doetinchem;06-49740857;5-27-1934;JosefHolub@cuvox.de;48836390
WHBuurman;wilhelmina;Wilhelmina;H;Buurman;IJsselstraat ;52;;7607 LP;Almelo;06-54735079;6-2-1928;WilhelminaBuurman@fleckens.hu;64741230
JJStehlík;jozef;Jozef;J;Stehlík;Feiko Clockstraat ;121;;9665 BD;Oude Pekela;06-32678800;8-10-1956;JozefStehlik@superrito.com;86726720
AMMortense;anna;Anna;M;Mortensen;Meentweg ;182;;3755 PD;Eemnes;06-50875800;1-14-1936;AnnaMMortensen@dayrep.com;90298500
TNNissen;torbeneen;Torben;N;Nissen;Lucas Gasselstraat ;150;;5246 CD;Rosmalen;06-31390146;5-20-2002;TorbenNNissen@superrito.com;10496968
MAĆosić;mirjana;Mirjana;A;Ćosić;Engelbert Dorsstraat ;121;;5971 VE;Grubbenvorst;06-19307154;10-10-1952;MirjanaCosic@cuvox.de;11031992
DGIvankovi;dino;Dino;G;Ivanković;Bachstraat ;75;;6561 EL;Groesbeek;06-64516758;7-26-1970;DinoIvankovic@jourrapide.com;11887801
LSJakobsen;liv;Liv;S;Jakobsen;Parsifalstraat ;141;;2555 WK;Den Haag;06-19142254;12-11-1987;LivSJakobsen@superrito.com;14389228
AVKošťál;antonín;Antonín;V;Košťál;Kloosterlaan ;113;;5435 XD;Sint Agatha;06-31296610;12-6-1923;AntoninKostal@teleworm.us;15668320
NAPavlović;nikola;Nikola;A;Pavlović;Dennenlaan ;32;;1161 CK;Zwanenburg;06-14415768;12-6-1922;NikolaPavlovic@teleworm.us;16497648
IRKlabbers;isaï;Isaï;R;Klabbers;Charley Tooropstraat ;24;;6464 BB;Kerkrade;06-62898578;6-16-1923;IsaiKlabbers@fleckens.hu;16604702
MMMrkvičko;marietwee;Marie;M;Mrkvičková;Tweede Atjehstraat ;111;;1094 LD;Amsterdam;06-79120126;10-16-1960;MarieMrkvickova@cuvox.de;17929015
JMAndresen;julieeen;Julie;M;Andresen;Wolfdriesweg ;187;;6325 PM;Berg en Terblijt;06-59851806;8-14-1982;JulieMAndresen@teleworm.us;21634105
LOČechová;lenkaeen;Lenka;O;Čechová;Molstraat ;101;;1531 CR;Wormer;06-21405124;10-1-1922;LenkaCechova@einrot.com;21841202






